	date	vis	wind_direction_deg	gust_km_h	feels_c	rain_mm	humidity_%	cloudiness_%
0	2018-09-15 00:00:00	Excellent	247.5	26	4	0.0	92	14
1	2018-09-15 03:00:00	Excellent	247.5	27	4	0.0	92	19
2	2018-09-15 06:00:00	Excellent	247.5	22	6	0.0	91	100
3	2018-09-15 09:00:00	Excellent	247.5	23	8	0.0	80	60
4	2018-09-15 12:00:00	Excellent	225.0	21	12	0.0	65	43
5	2018-09-15 15:00:00	Excellent	225.0	22	13	0.0	71	68
6	2018-09-15 18:00:00	Excellent	202.5	20	11	0.0	88	100
7	2018-09-15 21:00:00	Excellent	180.0	27	10	1.0	92	61
8	2018-09-16 00:00:00	Excellent	180.0	35	10	0.0	89	100
9	2018-09-16 03:00:00	Excellent	202.5	62	12	0.8	87	81
10	2018-09-16 06:00:00	Excellent	225.0	47	13	0.0	87	98
11	2018-09-16 09:00:00	Excellent	247.5	50	10	0.1	83	81
12	2018-09-16 12:00:00	Excellent	247.5	47	11	0.0	71	92
13	2018-09-16 15:00:00	Excellent	247.5	44	11	0.1	69	84
14	2018-09-16 18:00:00	Excellent	225.0	31	10	0.0	78	54
15	2018-09-16 21:00:00	Excellent	202.5	29	8	0.0	88	46
16	2018-09-17 00:00:00	Excellent	225.0	30	9	0.0	88	40
17	2018-09-17 03:00:00	Excellent	202.5	25	9	0.0	92	27
18	2018-09-17 06:00:00	Excellent	202.5	21	9	0.0	91	76
19	2018-09-17 09:00:00	Excellent	202.5	23	12	0.0	78	100
20	2018-09-17 12:00:00	Excellent	180.0	22	16	0.0	72	64
21	2018-09-17 15:00:00	Excellent	180.0	35	16	0.1	81	80
22	2018-09-17 18:00:00	Excellent	202.5	38	17	0.0	82	88
23	2018-09-17 21:00:00	Excellent	202.5	45	17	0.1	80	54
24	2018-09-18 00:00:00	Excellent	202.5	35	15	0.0	84	38
25	2018-09-18 03:00:00	Excellent	157.5	27	13	0.0	92	17
26	2018-09-18 06:00:00	Excellent	112.5	9	14	0.0	89	66
